column,spark_dtype,null_count,exempt_na_count,total_missing_pct,column_group
co_applicant_ethnicity_4,IntegerType(),11483776,0,100.0,applicant_ethnicity
co_applicant_ethnicity_5,IntegerType(),11483769,0,100.0,applicant_ethnicity
applicant_ethnicity_5,IntegerType(),11483538,0,100.0,applicant_ethnicity
applicant_ethnicity_4,IntegerType(),11483437,0,100.0,applicant_ethnicity
co_applicant_race_5,IntegerType(),11483037,0,99.99,applicant_race
applicant_race_5,IntegerType(),11481677,0,99.98,applicant_race
co_applicant_race_4,IntegerType(),11481606,0,99.98,applicant_race
co_applicant_ethnicity_3,IntegerType(),11479522,0,99.96,applicant_ethnicity
applicant_race_4,IntegerType(),11477184,0,99.94,applicant_race
denial_reason_4,IntegerType(),11473718,0,99.91,denial_reasons
applicant_ethnicity_3,IntegerType(),11470323,0,99.88,applicant_ethnicity
co_applicant_race_3,IntegerType(),11468136,0,99.86,applicant_race
multifamily_affordable_units,StringType(),0,11454333,99.74,applicant_financial
applicant_race_3,IntegerType(),11439438,0,99.61,applicant_race
aus_5,IntegerType(),11437936,0,99.6,underwriting
aus_4,IntegerType(),11430773,0,99.54,underwriting
total_points_and_fees,StringType(),0,11405857,99.32,loan_financials
denial_reason_3,IntegerType(),11400307,0,99.27,denial_reasons
aus_3,IntegerType(),11340396,0,98.75,underwriting
co_applicant_race_2,IntegerType(),11274100,0,98.17,applicant_race
co_applicant_ethnicity_2,IntegerType(),11225971,0,97.75,applicant_ethnicity
prepayment_penalty_term,StringType(),0,11070779,96.4,loan_terms
denial_reason_2,IntegerType(),11010021,0,95.87,denial_reasons
applicant_race_2,IntegerType(),10936439,0,95.23,applicant_race
aus_2,IntegerType(),10934086,0,95.21,underwriting
applicant_ethnicity_2,IntegerType(),10793052,0,93.98,applicant_ethnicity
lender_credits,StringType(),3462309,6451203,86.33,loan_financials
intro_rate_period,StringType(),0,9072410,79.0,loan_terms
discount_points,StringType(),2169863,6447956,75.04,loan_financials
co_applicant_age_above_62,StringType(),0,7325058,63.79,applicant_financial
total_loan_costs,StringType(),0,6429923,55.99,loan_financials
origination_charges,StringType(),0,6371460,55.48,loan_financials
rate_spread,StringType(),0,6130610,53.38,loan_financials
interest_rate,StringType(),0,4297615,37.42,loan_financials
combined_loan_to_value_ratio,StringType(),0,4071718,35.46,loan_financials
debt_to_income_ratio,StringType(),0,3922585,34.16,applicant_financial
property_value,StringType(),0,2502239,21.79,property_characteristics
income,StringType(),0,1498547,13.05,applicant_financial
applicant_age_above_62,StringType(),0,1406601,12.25,applicant_financial
loan_term,StringType(),0,470498,4.1,loan_terms
census_tract,StringType(),0,386768,3.37,identifiers_and_geography
county_code,StringType(),0,333351,2.9,identifiers_and_geography
aus_1,IntegerType(),0,282564,2.46,underwriting
initially_payable_to_institution,IntegerType(),0,279255,2.43,application_channel
submission_of_application,IntegerType(),0,279255,2.43,application_channel
balloon_payment,IntegerType(),0,279252,2.43,loan_terms
interest_only_payment,IntegerType(),0,279252,2.43,loan_terms
negative_amortization,IntegerType(),0,279252,2.43,loan_terms
other_nonamortizing_features,IntegerType(),0,279252,2.43,loan_terms
applicant_credit_score_type,IntegerType(),0,278922,2.43,applicant_financial
co_applicant_credit_score_type,IntegerType(),0,278922,2.43,applicant_financial
reverse_mortgage,IntegerType(),0,278817,2.43,loan_characteristics
manufactured_home_land_property_interest,IntegerType(),0,278716,2.43,property_characteristics
manufactured_home_secured_property_type,IntegerType(),0,278700,2.43,property_characteristics
open_end_line_of_credit,IntegerType(),0,277961,2.42,loan_characteristics
business_or_commercial_purpose,IntegerType(),0,277679,2.42,loan_characteristics
state_code,StringType(),0,240628,2.1,identifiers_and_geography
denial_reason_1,IntegerType(),0,235013,2.05,denial_reasons
conforming_loan_limit,StringType(),0,44979,0.39,derived_categories
tract_owner_occupied_units,IntegerType(),0,11187,0.1,census_tract_context
applicant_ethnicity_1,IntegerType(),6804,0,0.06,applicant_ethnicity
tract_one_to_four_family_homes,IntegerType(),0,5719,0.05,census_tract_context
applicant_race_1,IntegerType(),3312,0,0.03,applicant_race
co_applicant_ethnicity_1,IntegerType(),2218,0,0.02,applicant_ethnicity
co_applicant_race_1,IntegerType(),855,0,0.01,applicant_race
tract_population,IntegerType(),0,123,0.0,census_tract_context
action_taken,IntegerType(),0,0,0.0,action_and_disposition
activity_year,IntegerType(),0,0,0.0,identifiers_and_geography
applicant_age,StringType(),0,0,0.0,applicant_financial
applicant_ethnicity_observed,IntegerType(),0,0,0.0,applicant_ethnicity
applicant_race_observed,IntegerType(),0,0,0.0,applicant_race
applicant_sex,IntegerType(),0,0,0.0,applicant_sex
applicant_sex_observed,IntegerType(),0,0,0.0,applicant_sex
co_applicant_age,StringType(),0,0,0.0,applicant_financial
co_applicant_ethnicity_observed,IntegerType(),0,0,0.0,applicant_ethnicity
co_applicant_race_observed,IntegerType(),0,0,0.0,applicant_race
co_applicant_sex,IntegerType(),0,0,0.0,applicant_sex
co_applicant_sex_observed,IntegerType(),0,0,0.0,applicant_sex
construction_method,IntegerType(),0,0,0.0,property_characteristics
derived_dwelling_category,StringType(),0,0,0.0,derived_categories
derived_ethnicity,StringType(),0,0,0.0,derived_categories
derived_loan_product_type,StringType(),0,0,0.0,derived_categories
derived_msa_md,IntegerType(),0,0,0.0,identifiers_and_geography
derived_race,StringType(),0,0,0.0,derived_categories
derived_sex,StringType(),0,0,0.0,derived_categories
ffiec_msa_md_median_family_income,IntegerType(),0,0,0.0,census_tract_context
hoepa_status,IntegerType(),0,0,0.0,loan_financials
lei,StringType(),0,0,0.0,identifiers_and_geography
lien_status,IntegerType(),0,0,0.0,loan_characteristics
loan_amount,LongType(),0,0,0.0,loan_financials
loan_purpose,IntegerType(),0,0,0.0,loan_characteristics
loan_type,IntegerType(),0,0,0.0,loan_characteristics
occupancy_type,IntegerType(),0,0,0.0,property_characteristics
preapproval,IntegerType(),0,0,0.0,action_and_disposition
purchaser_type,IntegerType(),0,0,0.0,action_and_disposition
total_units,StringType(),0,0,0.0,property_characteristics
tract_median_age_of_housing_units,IntegerType(),0,0,0.0,census_tract_context
tract_minority_population_percent,DoubleType(),0,0,0.0,census_tract_context
tract_to_msa_income_percentage,DoubleType(),0,0,0.0,census_tract_context
